customerID,companyName,contactName,contactTitle,country
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Germany
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Germany
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Germany
FRANK,Frankenversand,Peter Franken,Marketing Manager,Germany
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Germany
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Germany
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Germany
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Germany
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Germany
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Germany
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Germany
